name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Zambezi Portland Cement","2M2X+J49, Ndola, Zambia","","marvelworxmedia@gmail.com",-12.9984527,28.6978447,"http://www.zambeziportland.co.zm/","Zambia","Copperbelt Province","Ndola",4.2,76,"","Companies","Companies","https://facebook.com/zambeziportlandcement","","","","","",""
"FOUNDATION OF HOPE ZAMBIA NGO","","+260 76 4700432","smb_web@support.whatsapp.com",-12.9774664,28.6319719,"https://chat.whatsapp.com/kxmgclhvqksfpPVRFAKCMJ","Zambia","Copperbelt Province","Ndola",0,0,"","Non-governmental organizations","Companies,Non-governmental organizations,Service establishments","https://www.facebook.com/profile.php?id=100064758844406","https://www.instagram.com/whatsapp/?hl=en","","https://twitter.com/whatsapp","","https://www.youtube.com/channel/UCAuerig2N-RZWJT8x75V9yw",""
"Mulungushi Central Ndola Campus","","+260 97 8784316","info@mysite.com",-12.9774664,28.6319719,"https://www.mulungushimedicalschool.com/","Zambia","Copperbelt Province","Ndola",0,0,"","Educational institutions","Companies,Educational institutions,Service establishments","","","","","","",""
"Secured Apartments","","+260 96 2220801","SecuredApartmentsZambia@gmail.com",-12.9774664,28.6319719,"https://securedapartments.com/","Zambia","Copperbelt Province","Ndola",0,0,"","Apartment complexes","Apartment complexes,Companies,Service establishments","","","","","","",""
"Secured Apartments Zambia","","+260 97 2040520","SecuredApartmentsZambia@gmail.com",-12.9774664,28.6319719,"http://securedapartments.com/","Zambia","Copperbelt Province","Ndola",0,0,"","Apartment complexes","Service establishments,Apartment complexes,Companies","","","","","","",""
"Tower of Good News Ministry","","+260 95 6971230","contact@towerrecords.com",-12.9774664,28.6319719,"https://www.tower.com/","Zambia","Copperbelt Province","Ndola",5,1,"","Non-profit organizations","Service establishments,Non-profit organizations,Companies","","https://www.instagram.com/officialtowerrecords/","","https://twitter.com/towerrecords?lang=en","","https://www.youtube.com/@towerlabs",""
"Big MAN solution","","+260 76 8536631","",-13.0009542,28.6398154,"","Zambia","Copperbelt Province","Ndola",0,0,"","Repair services","Repair services,Service establishments,Companies","","","","","","",""
"Golden comb beauty spa Ndola","","+260 96 9540927","",-12.9537346,28.6217395,"","Zambia","Copperbelt Province","Ndola",0,0,"","Beauty salons","Service establishments,Beauty salons,Beauty Parlours,Companies","","","","","","",""
"Yoyo salon","","+260 97 6107823","",-12.9774664,28.6319719,"","Zambia","Copperbelt Province","Ndola",0,0,"","Beauty salons","Beauty Parlours,Companies,Service establishments,Beauty salons","","","","","","",""
"Aaron haroun phontech solution","","+260 96 9141161","",-13.0009542,28.6398154,"","Zambia","Copperbelt Province","Ndola",0,0,"","Phone repair services","Phone repair services,Service establishments,Companies","","","","","","",""
