name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Higher calling private School","New Mushili, 3007 Mindolo Rd, Ndola, Zambia","+260 97 8016069","",-13.0223816,28.6212246,"","Zambia","Copperbelt Province","Ndola",5,1,"","Primary schools","Primary schools","","","","","","",""
"Febre Academy","2J24+H3W, Ndola, Zambia","+260 96 5238005","",-12.9985141,28.6051982,"","Zambia","Copperbelt Province","Ndola",0,0,"","Primary schools","Primary schools","","","","","","",""
"CHILAVI SCHOOL","4976 Lubengula St, Ndola, Zambia","+260 96 6853331","",-12.9371324,28.6119641,"","Zambia","Copperbelt Province","Ndola",5,1,"","Primary schools","Primary schools","","","","","","",""
"Nima School","3JF5+FXP, Ndola, Zambia","+260 96 5336130","",-12.9262808,28.6099393,"","Zambia","Copperbelt Province","Ndola",0,0,"","Primary schools","Primary schools","","","","","","",""
"Kanisha christian school","Plot No 84A, Lyembe Street, Ndola, Zambia","+260 96 5339235","",-13.0068262,28.6633689,"https://kanisha-christian-school.business.site/?utm_source=gmb&utm_medium=referral","Zambia","Copperbelt Province","Ndola",1,1,"","Primary schools","Primary schools","","","","","","",""
"Lovely Smile Christian School","2J99+65Q, Ndola, Zambia","+260 96 6906415","",-12.981915,28.617975,"","Zambia","Copperbelt Province","Ndola",5,2,"","Primary schools","Primary schools","","","","","","",""
"Ecole Education Centre","3JFC+6G, Ndola, Zambia","+260 97 7761188","",-12.926951,28.6213703,"","Zambia","Copperbelt Province","Ndola",0,0,"","Primary schools","Primary schools","","","","","","",""
"Itawa Primary School","2M78+M75, Ndola, Zambia","+260 95 5887121","",-12.9858553,28.6657189,"","Zambia","Copperbelt Province","Ndola",3.2,6,"","Primary schools","Primary schools","","","","","","",""
"Truddies Primary School","4552 Pamodzi Rd, Ndola, Zambia","+260 97 9933469","",-12.9291655,28.6269866,"https://truddies-school.business.site/","Zambia","Copperbelt Province","Ndola",5,3,"","Primary schools","Event venues,Primary schools","","","","","","",""
"Mushili Kansengu Primary School, Ndola","XJFH+FX5, Ndola, Zambia","+260 96 2541428","",-13.0263533,28.6299909,"","Zambia","Copperbelt Province","Ndola",4.5,2,"","Primary schools","Primary schools","","","","","","",""
